name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
Newburg Community Action Center Food Pantry · Visited link,"4810 Exeter Ave, Louisville, KY 40218",louisvilleky.gov,(502) 574-1270,,3.0,,38.2439468,-85.8784328,Community Food Pantries in Louisville 40214
Saint George Community Center - Food Distribution Center · Visited link,"1205 S 26th St, Louisville, KY 40210",,(502) 776-0800,,5.0,,38.2439468,-85.8784328,Community Food Pantries in Louisville 40214
Community Ministries of Walnut Street Baptist Church Food Pantry · Visited link,"220 St Catherine St, Louisville, KY 40203",cmwsbc.org,(502) 589-3454,,4.4,,38.2439468,-85.8784328,Community Food Pantries in Louisville 40214
Forest Baptist Food Pantry - Food Distribution Center · Visited link,"4500 Petersburg Rd, Louisville, KY 40218",fbcnewburg.org,(502) 454-0189,,5.0,,38.2439468,-85.8784328,Community Food Pantries in Louisville 40214
Highlands Community Ministries - Food Distribution Center · Visited link,"1228 E Breckinridge St, Louisville, KY 40204",hcmlouisville.org,(502) 451-3695,,,,38.2439468,-85.8784328,Community Food Pantries in Louisville 40214
"Society Of Saint Vincent De Paul, Council Of Louisville, Ky - Food Distribution Center · Visited link","415 E St Catherine St, Louisville, KY 40203",,(502) 584-2480,,4.5,,38.2439468,-85.8784328,Community Food Pantries in Louisville 40214
Ujima Neighoborhood Place - Food Distribution Center · Visited link,"3610 Bohne Ave, Louisville, KY 40211",louisvilleky.gov,(502) 485-6710,,5.0,,38.2282729,-85.9592501,Community Food Pantries in Louisville 40214
Highland Park Missionary Baptist Church - Food Distribution Center · Visited link,"3700 Shanks Ln, Louisville, KY 40216",hpmbc1907.com,(502) 447-0055,,4.0,,38.2282729,-85.9592501,Community Food Pantries in Louisville 40214
Department for Community Based Services - Food Distribution Center · Visited link,"Louisville, KY 40202",,(502) 724-6906,,,,38.2282729,-85.9592501,Community Food Pantries in Louisville 40214
St George Community Center · Visited link,"1205 S 26th St, Louisville, KY 40210",episcopalky.org,(502) 775-6232,,4.2,,38.2282729,-85.9592501,Community Food Pantries in Louisville 40214
Saint Augustine Church - Food Distribution Center · Visited link,"1310 W Broadway, Louisville, KY 40203",,(502) 584-4602,,4.0,,38.2282729,-85.9592501,Community Food Pantries in Louisville 40214
Portland Avenue Community Trust - Food Distribution Center · Visited link,"2508 Portland Ave, Louisville, KY 40212",,(502) 774-4125,,5.0,,38.2282729,-85.9592501,Community Food Pantries in Louisville 40214
West Broadway Church of Christ - Food Distribution Center · Visited link,"3921 W Broadway, Louisville, KY 40211",,(502) 776-8662,,,,38.2282729,-85.9592501,Community Food Pantries in Louisville 40214
Youthbuild Louisville - Food Distribution Center · Visited link,"812 S Preston St, Louisville, KY 40203",,(502) 290-6121,,,,38.2282729,-85.9592501,Community Food Pantries in Louisville 40214
Walnut Street CSM - Food Distribution Center · Visited link,"1143 S 3rd St, Louisville, KY 40203",cmwsbc.org,(502) 589-3454,,4.3,,38.2282729,-85.9592501,Community Food Pantries in Louisville 40214
South Louisville Community Ministries · Visited link,"415 1/2 W Ashland Ave, Louisville, KY 40214",slcm.org,(502) 367-6445,,4.6,,38.2282729,-85.9592501,Community Food Pantries in Louisville 40214
The Lord's Kitchen - Food Distribution Center · Visited link,"1811 Standard Ave, Louisville, KY 40210",thelordskitchen.com,(502) 964-3304,,4.7,,38.2282729,-85.9592501,Community Food Pantries in Louisville 40214
Sister Visitor Center - Choice Food Pantry · Visited link,"2235 W Market St, Louisville, KY 40212",cclou.org,,,4.8,,38.2282729,-85.9592501,Community Food Pantries in Louisville 40214
The Lords Kitchen COH · Visited link,"1811 Standard Ave, Louisville, KY 40210",thelordskitchen.com,(502) 413-0198,,4.6,,38.2282729,-85.9592501,Community Food Pantries in Louisville 40214
