name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
Hope Southern Indiana - Food Pantry · Visited link,"1200 Bono Rd, New Albany, IN 47150",hopesi.org,(812) 948-9248,,4.8,,38.296197,-85.8986635,Community Food Pantries in New Albany 47150
Hour of Power - Food Distribution Center · Visited link,"108 W Main St, New Albany, IN 47150",,(812) 945-1937,,,,38.296197,-85.8986635,Community Food Pantries in New Albany 47150
Charlestown Road Baptist Church - Food Distribution Center · Visited link,"2404 Charlestown Rd, New Albany, IN 47150",crsbc.org,,,5.0,,38.296197,-85.8986635,Community Food Pantries in New Albany 47150
Northside Christian Church - Midtown Food Pantry · Visited link,"1423 E Oak St, New Albany, IN 47150",mynorthside.com,(812) 945-8704,,4.9,,38.296197,-85.8986635,Community Food Pantries in New Albany 47150
Revelation Tabernacle - Food Distribution Center · Visited link,"602 W Market St, New Albany, IN 47150",,(812) 697-6754,,,,38.296197,-85.8986635,Community Food Pantries in New Albany 47150
Hope Southern Indiana · Visited link,"1200 Bono Rd, New Albany, IN 47150",hopesi.org,(812) 948-9248,,4.6,,38.296197,-85.8986635,Community Food Pantries in New Albany 47150
Salvation Army · Visited link,"2300 Green Valley Rd, New Albany, IN 47150",salvationarmyusa.org,(812) 944-1018,,4.4,,38.296197,-85.8986635,Community Food Pantries in New Albany 47150
Revelation Tabernacle · Visited link,"602 W Market St, New Albany, IN 47150",,,,4.5,,38.296197,-85.8986635,Community Food Pantries in New Albany 47150
Community Kitchen Inc · Visited link,"1611 Spring St, Jeffersonville, IN 47130",jeffersonvillecommunitykitchen.org,(812) 283-0808,,4.5,,38.2873414,-85.821786,Community Food Pantries in New Albany 47150
Central Christian Church · Visited link,"1315 E Spring St, New Albany, IN 47150",centralchristianna.org,(812) 944-1736,,4.4,,38.2914055,-85.8822944,Community Food Pantries in New Albany 47150
Crossroads Community Church · Visited link,"2248 Charlestown Rd, New Albany, IN 47150",mycrossroadsfamily.org,(812) 945-2361,,4.4,,38.2914055,-85.8822944,Community Food Pantries in New Albany 47150
Center For Lay Ministries Inc. · Visited link,"213 E Maple St, Jeffersonville, IN 47130",centerforlayministries.org,(812) 282-0063,,4.8,,38.2743599,-85.8119825,Community Food Pantries in New Albany 47150
Community Ministries of Walnut Street Baptist Church Food Pantry · Visited link,"220 St Catherine St, Louisville, KY 40203",cmwsbc.org,(502) 589-3454,,4.4,,38.2743599,-85.8119825,Community Food Pantries in New Albany 47150
Park Christian Church · Visited link,"2231 Green Valley Rd, New Albany, IN 47150",,(812) 944-9475,,4.5,,38.307506,-85.9092064,Community Food Pantries in New Albany 47150
St Paul's Episcopal Church · Visited link,"1015 E Main St, New Albany, IN 47150",stpaulna.org,(812) 944-0413,,4.3,,38.307506,-85.9092064,Community Food Pantries in New Albany 47150
