name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
12th & Hill Mart · Visited link,,,,,,,38.1364702,-85.9887965,Convenience Stores in Louisville 40210
Shorty's Food Mart · Visited link,"2133 Dixie Hwy, Louisville, KY 40210",,(502) 775-6262,,3.9,,38.1364702,-85.9887965,Convenience Stores in Louisville 40210
Duramart · Visited link,"1480 S 7th St, Louisville, KY 40208",,(502) 634-7110,,3.7,,38.227042,-85.9133846,Convenience Stores in Louisville 40210
Dailymart · Visited link,"1320 Dixie Hwy, Louisville, KY 40210",,(502) 776-9739,,2.6,,38.227042,-85.9133846,Convenience Stores in Louisville 40210
Stop & Save Food Mart · Visited link,"2752 7th Street Rd, Louisville, KY 40215",,(502) 749-4012,,4.1,,38.227042,-85.9133846,Convenience Stores in Louisville 40210
Circle K · Visited link,"9737 Old, 9737 3rd Street Rd, Louisville, KY 40272",circlek.com,(502) 995-5111,,3.9,,38.11477,-85.9790512,Convenience Stores in Louisville 40210
Thorntons · Visited link,"1501 Dixie Hwy, Louisville, KY 40210",thorntonsinc.com,(502) 775-5561,,3.8,,38.22793,-85.9344106,Convenience Stores in Louisville 40210
Anns Stop N Go Llc Mini mart,"1501 Dixie Hwy, Louisville, KY 40210",thorntonsinc.com,(502) 775-5561,,3.8,,38.22793,-85.9344106,Convenience Stores in Louisville 40210
Manslick Foodmart,"1505 S 25th St, Louisville, KY 40210",,,,,,38.22793,-85.9344106,Convenience Stores in Louisville 40210
B Quick Food Mart · Visited link,"7600 3rd Street Rd, Louisville, KY 40214",,(502) 365-3942,,3.8,,38.22793,-85.9344106,Convenience Stores in Louisville 40210
Dixie Food Mart · Visited link,"3512 Dixie Hwy, Louisville, KY 40216",,(502) 618-2450,,4.1,,38.22793,-85.9344106,Convenience Stores in Louisville 40210
Quick Shop Food Mart · Visited link,"1307 Clara Ave, Louisville, KY 40215",,(502) 361-2082,,3.6,,38.22793,-85.9344106,Convenience Stores in Louisville 40210
EZ Food Mart · Visited link,"1100 Algonquin Pkwy, Louisville, KY 40208",,(502) 690-3193,,4.7,"·
In-store pickup
·
Delivery",38.22793,-85.9344106,Convenience Stores in Louisville 40210
Circle K · Visited link,"8801 3rd Street Rd, Louisville, KY 40272",circlek.com,(502) 933-0282,,4.2,,38.1162578,-85.9559012,Convenience Stores in Louisville 40210
Circle K · Visited link,"1255 W Ashland Ave, Louisville, KY 40215",circlek.com,(502) 363-0569,,3.4,,38.1162578,-85.9559012,Convenience Stores in Louisville 40210
Circle K · Visited link,"4100 Dixie Hwy, Louisville, KY 40216",circlek.com,(502) 447-9982,,3.7,,38.1162578,-85.9559012,Convenience Stores in Louisville 40210
Circle K · Visited link,"8320 3rd Street Rd, Louisville, KY 40214",circlek.com,(502) 361-0333,,3.0,,38.1162578,-85.9559012,Convenience Stores in Louisville 40210
Thorntons · Visited link,"2000 7th Street Rd, Louisville, KY 40208",thorntonsinc.com,(502) 634-5646,,3.2,,38.219963,-85.9223256,Convenience Stores in Louisville 40210
one stop foodmart · Visited link,"7205 Manslick Rd, Louisville, KY 40214",marathonbrand.com,(502) 368-5742,,2.9,,38.219963,-85.9223256,Convenience Stores in Louisville 40210
Circle k · Visited link,"5414 Valley Station Rd, Louisville, KY 40272",circlek.com,(502) 933-9665,,4.1,,38.1064847,-86.0087086,Convenience Stores in Louisville 40210
Dixie gas · Visited link,"10501 Dixie Hwy, Louisville, KY 40272",,(502) 409-8168,,4.6,,38.1064847,-86.0087086,Convenience Stores in Louisville 40210
Flintlock Quick Stop · Visited link,"4129 Flintlock Dr, Louisville, KY 40216",,,,3.8,,38.1064847,-86.0087086,Convenience Stores in Louisville 40210
Iroquois Food Mart · Visited link,"5105 New Cut Rd, Louisville, KY 40214",fb.me,(502) 384-1086,,3.8,,38.163385,-85.9232899,Convenience Stores in Louisville 40210
Circle K · Visited link,"10414 Dixie Hwy, Louisville, KY 40272",circlek.com,(502) 933-9665,,4.4,,38.1038608,-86.0138133,Convenience Stores in Louisville 40210
Circle K · Visited link,"10642 Dixie Hwy, Louisville, KY 40272",circlek.com,(502) 937-5838,,4.0,,38.1038608,-86.0138133,Convenience Stores in Louisville 40210
Speedy Mart · Visited link,"4406 Taylor Blvd, Louisville, KY 40215",,(502) 366-5560,,4.0,,38.1755294,-85.9272807,Convenience Stores in Louisville 40210
Dixie Lotto Mart · Visited link,"3802 Dixie Hwy, Louisville, KY 40216",,(502) 260-2680,,5.0,,38.1755294,-85.9272807,Convenience Stores in Louisville 40210
F & M Food Mart · Visited link,"1600 Arcade Ave, Louisville, KY 40215",facebook.com,(502) 361-4200,,4.0,,38.1755294,-85.9272807,Convenience Stores in Louisville 40210
4th & Cardinal Food Mart · Visited link,"1927 S 4th St, Louisville, KY 40208",,(502) 635-7740,,3.0,,38.1755294,-85.9272807,Convenience Stores in Louisville 40210
Stop N Go · Visited link,"700 W Oak St, Louisville, KY 40203",,(502) 919-7166,,3.4,,38.1755294,-85.9272807,Convenience Stores in Louisville 40210
Circle K · Visited link,"9200 Dixie Hwy, Louisville, KY 40272",circlek.com,(502) 935-5319,,3.3,,38.1209793,-86.000661,Convenience Stores in Louisville 40210
Moie's · Visited link,"1636 W Oak St, Louisville, KY 40210",,,,2.5,,38.2369551,-85.9269377,Convenience Stores in Louisville 40210
7th Street Food Mart · Visited link,"2517 7th Street Rd, Louisville, KY 40208",,(502) 636-0073,,5.0,,38.2369551,-85.9269377,Convenience Stores in Louisville 40210
Greenwood Grocery · Visited link,"1636 W Oak St, Louisville, KY 40210",,,,,,38.2369551,-85.9269377,Convenience Stores in Louisville 40210
