name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
Circle K · Visited link,"401 State St, New Albany, IN 47150",circlek.com,(812) 948-0602,,3.0,,38.2859586,-85.8967212,Convenience Stores in New Albany 47150
Thorntons · Visited link,"2250 State St, New Albany, IN 47150",thorntonsinc.com,(812) 949-2035,,4.1,,38.2859586,-85.8967212,Convenience Stores in New Albany 47150
Meijer Express Gas Station · Visited link,"4220 Charlestown Rd, New Albany, IN 47150",meijer.com,(812) 542-3829,,3.9,,38.3493833,-85.8677135,Convenience Stores in New Albany 47150
Amoco · Visited link,"2750 Charlestown Rd, New Albany, IN 47150",map.bp.com,(847) 858-2702,,4.5,,38.3493833,-85.8677135,Convenience Stores in New Albany 47150
Shell · Visited link,"2025 E Spring St, New Albany, IN 47150",find.shell.com,(812) 945-4611,,3.6,,38.296627,-85.8725148,Convenience Stores in New Albany 47150
Marathon Gas · Visited link,"4016 Grant Line Rd, New Albany, IN 47150",marathonbrand.com,(812) 949-1790,,3.5,,38.3399627,-85.8888509,Convenience Stores in New Albany 47150
bp · Visited link,"2589 Charlestown Rd, New Albany, IN 47150",map.bp.com,(812) 945-3150,,3.5,,38.3399627,-85.8888509,Convenience Stores in New Albany 47150
Circle K · Visited link,"602 W Main St, New Albany, IN 47150",circlek.com,(812) 949-1293,,3.4,,38.281072,-85.9018062,Convenience Stores in New Albany 47150
Shell · Visited link,"3309 Grant Line Rd, New Albany, IN 47150",find.shell.com,(812) 948-8101,,3.9,,38.32724,-85.8915178,Convenience Stores in New Albany 47150
Circle K · Visited link,"3601 Grant Line Rd, New Albany, IN 47150",circlek.com,(812) 944-5344,,3.1,,38.32724,-85.8915178,Convenience Stores in New Albany 47150
Sav-A-Step Food Mart · Visited link,"4016 Grant Line Rd, New Albany, IN 47150",,(812) 949-1790,,3.8,,38.32724,-85.8915178,Convenience Stores in New Albany 47150
Thorntons · Visited link,"1401 Corydon Pike, New Albany, IN 47150",thorntonsinc.com,(812) 542-1081,,3.9,,38.27401,-85.9094278,Convenience Stores in New Albany 47150
Circle K · Visited link,"2104 Grant Line Rd, New Albany, IN 47150",circlek.com,(812) 949-7391,,3.5,,38.27401,-85.9094278,Convenience Stores in New Albany 47150
Little Foot Food Store · Visited link,"2589 Charlestown Rd, New Albany, IN 47150",,+1 226-246-2382,,4.7,,38.27401,-85.9094278,Convenience Stores in New Albany 47150
Circle K · Visited link,"3706 Charlestown Rd, Clarksville, IN 47150",circlek.com,(812) 949-9329,,3.6,,38.3352338,-85.8698709,Convenience Stores in New Albany 47150
