name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
Little Foot Food Store · Visited link,"2589 Charlestown Rd, New Albany, IN 47150",,+1 226-246-2382,,4.7,,38.3352194,-85.8698709,Corner Stores in New Albany 47150
Circle K · Visited link,"3601 Grant Line Rd, New Albany, IN 47150",circlek.com,(812) 944-5344,,3.1,,38.3352194,-85.8698709,Corner Stores in New Albany 47150
Zack's Food Mart · Visited link,"1223 Bono Rd, New Albany, IN 47150",m.facebook.com,(812) 945-3203,,4.1,,38.3352194,-85.8698709,Corner Stores in New Albany 47150
Circle K · Visited link,"401 State St, New Albany, IN 47150",circlek.com,(812) 948-0602,,3.0,,38.2859586,-85.8967212,Corner Stores in New Albany 47150
Thorntons · Visited link,"2250 State St, New Albany, IN 47150",thorntonsinc.com,(812) 949-2035,,4.1,,38.2859586,-85.8967212,Corner Stores in New Albany 47150
Lightning Food Mart · Visited link,"2595 Charlestown Rd, New Albany, IN 47150",,(812) 944-0692,,4.5,,38.2859586,-85.8967212,Corner Stores in New Albany 47150
The Hat Don · Visited link,"2025 E Spring St, New Albany, IN 47150",,(260) 702-5095,,5.0,,38.2859586,-85.8967212,Corner Stores in New Albany 47150
Meijer Express Gas Station · Visited link,"4220 Charlestown Rd, New Albany, IN 47150",meijer.com,(812) 542-3829,,3.9,,38.3493833,-85.8677135,Corner Stores in New Albany 47150
Sav-A-Step Food Mart · Visited link,"4016 Grant Line Rd, New Albany, IN 47150",,(812) 949-1790,,3.8,,38.3493833,-85.8677135,Corner Stores in New Albany 47150
The Hat Don · Visited link,"3309 Grant Line Rd, New Albany, IN 47150",,(260) 702-5095,,,,38.3493833,-85.8677135,Corner Stores in New Albany 47150
Marathon Gas · Visited link,"523 Vincennes St, New Albany, IN 47150",marathonbrand.com,(812) 941-5420,,3.5,"·
Diesel gas",38.2941618,-85.8809108,Corner Stores in New Albany 47150
Marathon Gas · Visited link,"800 State St, New Albany, IN 47150",,(812) 944-5359,,3.2,,38.2941618,-85.8809108,Corner Stores in New Albany 47150
Circle K · Visited link,"602 W Main St, New Albany, IN 47150",circlek.com,(812) 949-1293,,3.4,,38.2941618,-85.8809108,Corner Stores in New Albany 47150
Amoco · Visited link,"2750 Charlestown Rd, New Albany, IN 47150",map.bp.com,(847) 858-2702,,4.5,,38.2941618,-85.8809108,Corner Stores in New Albany 47150
Marathon Gas · Visited link,"2100 E Spring St, New Albany, IN 47150",,(812) 542-0856,,3.5,,38.2941618,-85.8809108,Corner Stores in New Albany 47150
Dollar General · Visited link,"624 State St, New Albany, IN 47150",dollargeneral.com,(502) 430-2460,,1.8,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2941618,-85.8809108,Corner Stores in New Albany 47150
Marathon Gas · Visited link,"4016 Grant Line Rd, New Albany, IN 47150",marathonbrand.com,(812) 949-1790,,3.5,,38.3399627,-85.8888509,Corner Stores in New Albany 47150
Shell · Visited link,"2025 E Spring St, New Albany, IN 47150",find.shell.com,(812) 945-4611,,3.6,,38.3399627,-85.8888509,Corner Stores in New Albany 47150
Shell · Visited link,"3309 Grant Line Rd, New Albany, IN 47150",find.shell.com,(812) 948-8101,,3.9,,38.3399627,-85.8888509,Corner Stores in New Albany 47150
Dollar General · Visited link,"417 Vincennes St, New Albany, IN 47150",dollargeneral.com,(812) 503-0090,,3.8,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.3399627,-85.8888509,Corner Stores in New Albany 47150
Circle K · Visited link,"3706 Charlestown Rd, Clarksville, IN 47150",circlek.com,(812) 949-9329,,3.6,,38.3399627,-85.8888509,Corner Stores in New Albany 47150
bp · Visited link,"2589 Charlestown Rd, New Albany, IN 47150",map.bp.com,(812) 945-3150,,3.5,,38.3399627,-85.8888509,Corner Stores in New Albany 47150
New Albany Plaza · Visited link,"440 New Albany Plaza, New Albany, IN 47150",,,,4.2,"·
In-store pickup
·
Delivery",38.3399627,-85.8888509,Corner Stores in New Albany 47150
Dollar General · Visited link,"2660 Charlestown Rd, New Albany, IN 47150",dollargeneral.com,(812) 913-5175,,4.2,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.3399627,-85.8888509,Corner Stores in New Albany 47150
Dylans Food Mart · Visited link,"1894 Blackiston Mill Rd, Clarksville, IN 47129",,(812) 944-6810,,4.0,,38.3191165,-85.8508741,Corner Stores in New Albany 47150
Thorntons · Visited link,"1401 Corydon Pike, New Albany, IN 47150",thorntonsinc.com,(812) 542-1081,,3.9,,38.27401,-85.9094278,Corner Stores in New Albany 47150
Circle K · Visited link,"2104 Grant Line Rd, New Albany, IN 47150",circlek.com,(812) 949-7391,,3.5,,38.27401,-85.9094278,Corner Stores in New Albany 47150
Save a Step · Visited link,"605 Eastern Blvd, Clarksville, IN 47129",,(812) 288-7261,,4.2,"·
Delivery",38.2984346,-85.8338194,Corner Stores in New Albany 47150
Sav-A-Step Food Mart · Visited link,"3693 Paoli Pike, Floyds Knobs, IN 47119",,(812) 923-0190,,3.3,,38.323967,-85.9456868,Corner Stores in New Albany 47150
Circle K · Visited link,"820 Eastern Blvd, Clarksville, IN 47129",circlek.com,(812) 280-9157,,3.4,,38.301713,-85.8355308,Corner Stores in New Albany 47150
Kroger · Visited link,"2864 Charlestown Rd, New Albany, IN 47150",kroger.com,(812) 944-7016,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.3319384,-85.8701357,Corner Stores in New Albany 47150
Meijer · Visited link,"4222 Charlestown Rd, New Albany, IN 47150",meijer.com,(812) 542-3800,,4.2,"Chain retailer featuring brand-name groceries plus apparel, electronics & more.",38.3319384,-85.8701357,Corner Stores in New Albany 47150
