name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
Dollar General · Visited link,"409 W Oak St, Louisville, KY 40203",dollargeneral.com,(502) 665-0698,,2.6,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2107416,-86.0054088,Dollar/Discount Stores in Louisville 40203
Dollar Tree · Visited link,"4121 Shelbyville Rd St Matthews Pavilion, Louisville, KY 40207",dollartree.com,(502) 710-0545,,4.3,"Chain offering a mix of household items, beauty products, food & more at discount prices.",38.2107416,-86.0054088,Dollar/Discount Stores in Louisville 40203
"DERBY DOLLAR STORE, LLC · Visited link","5057 Poplar Level Rd, Louisville, KY 40219",,,,,,38.2107416,-86.0054088,Dollar/Discount Stores in Louisville 40203
Family Dollar · Visited link,"Cliffside Plaza, 1961 Brownsboro Rd, Louisville, KY 40206",familydollar.com,(502) 822-7939,,3.5,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",38.2107416,-86.0054088,Dollar/Discount Stores in Louisville 40203
Community Dollar Retail · Visited link,"1679 Old Preston Hwy N # 16, Louisville, KY 40229",,(502) 277-1355,,4.7,,38.2107416,-86.0054088,Dollar/Discount Stores in Louisville 40203
Dollar General · Visited link,"2106 Brownsboro Rd, N Clifton Ave, Louisville, KY 40206",dollargeneral.com,(502) 272-0763,,2.3,"·
Delivery",38.2107416,-86.0054088,Dollar/Discount Stores in Louisville 40203
Dollar General · Visited link,"1631 W Market St, Louisville, KY 40203",dollargeneral.com,(502) 792-0270,,3.8,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2107416,-86.0054088,Dollar/Discount Stores in Louisville 40203
Dollar Tree · Visited link,"Former Dry Cleaners, 2929 Preston Hwy, Louisville, KY 40217",dollartree.com,(502) 632-6237,,3.9,"Chain offering a mix of household items, beauty products, food & more at discount prices.",38.2107416,-86.0054088,Dollar/Discount Stores in Louisville 40203
Family Dollar · Visited link,"1234 W Broadway, Louisville, KY 40203",familydollar.com,(502) 495-3591,,3.5,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",38.2107416,-86.0054088,Dollar/Discount Stores in Louisville 40203
Family Dollar · Visited link,"1419 W Jefferson St, Louisville, KY 40203",familydollar.com,(502) 302-6513,,3.5,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",38.2107416,-86.0054088,Dollar/Discount Stores in Louisville 40203
