name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
Dollar General · Visited link,"417 Vincennes St, New Albany, IN 47150",dollargeneral.com,(812) 503-0090,,3.8,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.286413,-85.8969262,Dollar/Discount Stores in New Albany 47150
Dollar Tree · Visited link,"Former Rite Aid, 2022 E Spring St, New Albany, IN 47150",dollartree.com,(930) 256-2920,,4.2,"Chain offering a mix of household items, beauty products, food & more at discount prices.",38.286413,-85.8969262,Dollar/Discount Stores in New Albany 47150
Family Dollar · Visited link,"635 State St, New Albany, IN 47150",familydollar.com,(930) 256-0071,,4.0,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",38.286413,-85.8969262,Dollar/Discount Stores in New Albany 47150
Dollar Tree · Visited link,"1929 McDonald Lane, Grant Line Rd, New Albany, IN 47150",dollartree.com,(812) 913-5125,,4.3,"Chain offering a mix of household items, beauty products, food & more at discount prices.",38.286413,-85.8969262,Dollar/Discount Stores in New Albany 47150
Dollar General · Visited link,"624 State St, New Albany, IN 47150",dollargeneral.com,(502) 430-2460,,1.8,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.286413,-85.8969262,Dollar/Discount Stores in New Albany 47150
Family Dollar · Visited link,"1201 Vincennes St, New Albany, IN 47150",familydollar.com,(812) 914-8172,,3.6,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",38.286413,-85.8969262,Dollar/Discount Stores in New Albany 47150
Dollar Tree · Visited link,"460 New Albany Plaza, New Albany, IN 47150",dollartree.com,(812) 258-5002,,4.0,"Chain offering a mix of household items, beauty products, food & more at discount prices.",38.286413,-85.8969262,Dollar/Discount Stores in New Albany 47150
Dollar General · Visited link,"2660 Charlestown Rd, New Albany, IN 47150",dollargeneral.com,(812) 913-5175,,4.2,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.286413,-85.8969262,Dollar/Discount Stores in New Albany 47150
Smokey's Discount Tobacco · Visited link,"303 New Albany Plaza, New Albany, IN 47150",,(812) 948-8193,,4.3,,38.286413,-85.8969262,Dollar/Discount Stores in New Albany 47150
Dollar General · Visited link,"3522 Paoli Pike, Floyds Knobs, IN 47119",dollargeneral.com,(877) 463-1553,,4.0,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.3247697,-85.938564,Dollar/Discount Stores in New Albany 47150
Dollar General · Visited link,"1715 Charlestown New Albany Rd, Jeffersonville, IN 47130",dollargeneral.com,(812) 748-2679,,3.9,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.3260308,-85.8130804,Dollar/Discount Stores in New Albany 47150
