name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
ALDI,"5109 Dixie Hwy, Louisville, KY 40216",stores.aldi.us,(855) 955-2534,,4.4,"Retail chain selling a range of grocery items, meat & dairy.",38.1670544,-85.9003294,Ethnic Groceries in Louisville 40207
Pic Pac Southside Drive,"6629 Southside Dr, Louisville, KY 40214",facebook.com,(502) 366-9389,,4.2,"·
In-store pickup",38.1595779,-85.8362719,Ethnic Groceries in Louisville 40207
Sunshine Grocery · Visited link,"125 E Oak St, Louisville, KY 40203",,(502) 561-9225,,4.4,,38.2345734,-85.826138,Ethnic Groceries in Louisville 40207
Abraha Food & Tobacco Mart · Visited link,"1101 S 2nd St, Louisville, KY 40203",,(502) 883-1069,,3.9,,38.2345734,-85.826138,Ethnic Groceries in Louisville 40207
Bantu Star Food Market · Visited link,"1320 Berry Blvd, Louisville, KY 40215",,(502) 632-2882,,3.5,,38.2345734,-85.826138,Ethnic Groceries in Louisville 40207
Foods World (Eastern Goods LLC) · Visited link,"307 W Woodlawn Ave, Louisville, KY 40214",,(347) 841-3893,,4.7,"·
In-store shopping",38.1818124,-85.8389716,Ethnic Groceries in Louisville 40207
Ali's Food Mart · Visited link,"1444 Dixie Hwy, Louisville, KY 40210",,(502) 240-9567,,4.1,,38.2298776,-85.8620936,Ethnic Groceries in Louisville 40207
ValuMarket Mid City Mall · Visited link,"1250 Bardstown Rd #1, Louisville, KY 40204",valumarket.com,(502) 459-2221,,4.3,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.2347644,-85.7898586,Ethnic Groceries in Louisville 40207
African store · Visited link,"3908 Bardstown Rd, Louisville, KY 40218",,(502) 749-1234,,4.7,"·
In-store shopping",38.1947563,-85.7249077,Ethnic Groceries in Louisville 40207
Neighborhood Food Mart Inc · Visited link,"542 Lampton St, Louisville, KY 40203",,(502) 583-2762,,4.6,,38.2415957,-85.8163981,Ethnic Groceries in Louisville 40207
A-Chau Grocery Store · Visited link,"5107 S 3rd St, Louisville, KY 40214",,(502) 366-9830,,4.6,,38.1726842,-85.8394905,Ethnic Groceries in Louisville 40207
International Market · Visited link,"7100 Preston Hwy, Louisville, KY 40219",edan.io,(502) 964-4447,,4.1,,38.1491409,-85.7663898,Ethnic Groceries in Louisville 40207
ASIAN GROCERY LLC · Visited link,"7309 St Andrews Church Rd, Louisville, KY 40214",,(502) 915-0036,,4.3,,38.1546316,-85.874523,Ethnic Groceries in Louisville 40207
Oriental Supermarket · Visited link,"1211 Gilmore Ln, Louisville, KY 40213",,(502) 966-0400,,4.4,,38.1757318,-85.7838994,Ethnic Groceries in Louisville 40207
Asian-Vietnam oriental food Market · Visited link,"5019 S 3rd St Rd, Louisville, KY 40214",asianorientalfoodmarket.com,(502) 361-7846,,4.8,"·
In-store shopping",38.1735685,-85.8391148,Ethnic Groceries in Louisville 40207
Thang-Long · Visited link,"4836 Southside Dr, Louisville, KY 40214",,(502) 368-9429,,4.5,,38.1735685,-85.8391148,Ethnic Groceries in Louisville 40207
Golden Key International Grocery Store · Visited link,"3821 Bardstown Rd, Louisville, KY 40218",goldenkeymarket.com,(502) 485-9009,,4.7,,38.196102,-85.7260234,Ethnic Groceries in Louisville 40207
Asian Bazaar International Market (नेपाली किराना पसल ) · Visited link,"2218 Hikes Ln suite, Louisville, KY 40218",facebook.com,(502) 690-2917,,4.1,,38.196102,-85.7260234,Ethnic Groceries in Louisville 40207
Pathivara International Grocery · Visited link,"7535 Outer Loop, Louisville, KY 40228",,(502) 398-5385,,4.8,,38.1387325,-85.6911771,Ethnic Groceries in Louisville 40207
Al-Nahrain Supermarket · Visited link,"3327 Bardstown Rd #100, Louisville, KY 40218",facebook.com,(502) 618-2647,,4.2,,38.2069926,-85.7393034,Ethnic Groceries in Louisville 40207
Namaste Kamana Grocery · Visited link,"3825 Bardstown Rd, Louisville, KY 40218",,(502) 299-8445,,3.7,,38.2069926,-85.7393034,Ethnic Groceries in Louisville 40207
SAGARMATHA GROCERY LLC · Visited link,"4010 Bardstown Rd, Louisville, KY 40218",,(502) 365-1487,,5.0,,38.2069926,-85.7393034,Ethnic Groceries in Louisville 40207
SAGARMATHA GROCERY LLC · Visited link,"4010 Bardstown Rd, Louisville, KY 40218",,(502) 365-1487,,5.0,,38.2069926,-85.7393034,Ethnic Groceries in Louisville 40207
Phuoc Binh Grocery · Visited link,"5301 S 3rd St, Louisville, KY 40214",,(502) 366-7002,,4.0,,38.17118,-85.8397904,Ethnic Groceries in Louisville 40207
dong phuong Grocery Store · Visited link,"6705 Strawberry Ln, Louisville, KY 40214",,(502) 363-0208,,4.3,,38.17118,-85.8397904,Ethnic Groceries in Louisville 40207
Viet Hoa Food Market · Visited link,"7100 Preston Hwy #107, Louisville, KY 40219",viet-hoa.com,(502) 964-4447,,4.3,"·
In-store shopping",38.1490232,-85.7665024,Ethnic Groceries in Louisville 40207
Asian Food Mart(Dixie Oriental Supermarket) · Visited link,"3900 Bardstown Rd, Louisville, KY 40218",,(502) 473-1922,,4.7,"·
In-store shopping",38.1950055,-85.7254612,Ethnic Groceries in Louisville 40207
Choi's Asian Food Market · Visited link,"607 Lyndon Ln, Louisville, KY 40222",facebook.com,(502) 426-4441,,4.8,,38.259651,-85.6760548,Ethnic Groceries in Louisville 40207
Al sham markets أسواق الشام · Visited link,"3819 Bardstown Rd ste b, Louisville, KY 40218",,(502) 749-0066,,4.8,"·
In-store shopping
·
In-store pickup",38.1964702,-85.726302,Ethnic Groceries in Louisville 40207
"Istanbul Market, LLC · Visited link","4817 S Watterson Trail, Louisville, KY 40218",,(859) 539-7710,,4.8,"·
In-store shopping",38.1964702,-85.726302,Ethnic Groceries in Louisville 40207
The Fresh Market · Visited link,"1805 Rudy Ln, Louisville, KY 40207",stores.thefreshmarket.com,(502) 895-7593,,4.4,"Upscale grocery store chain with an old-world vibe offers local produce, prepared eats, wine & more.",38.27963,-85.7099718,Ethnic Groceries in Louisville 40207
