name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
ALDI,"5109 Dixie Hwy, Louisville, KY 40216",stores.aldi.us,(855) 955-2534,,4.4,"Retail chain selling a range of grocery items, meat & dairy.",38.1401828,-86.2636968,Ethnic Groceries in New Albany 47150
ALDI · Visited link,"3118 Grant Line Rd, New Albany, IN 47150",stores.aldi.us,(855) 955-2534,,4.6,"Retail chain selling a range of grocery items, meat & dairy.",38.1401828,-86.2636968,Ethnic Groceries in New Albany 47150
Rainbow Blossom New Albany · Visited link,"3003 Charlestown Crossing, New Albany, IN 47150",rainbowblossom.com,(812) 941-0080,,4.5,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.1401828,-86.2636968,Ethnic Groceries in New Albany 47150
Anna's Oriental Store · Visited link,"426 Kopp Ln, Clarksville, IN 47129",,(812) 282-4186,,4.5,,38.1401828,-86.2636968,Ethnic Groceries in New Albany 47150
Kroger Marketplace · Visited link,"200 New Albany Plaza, New Albany, IN 47150",kroger.com,(812) 948-2817,,3.8,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.1401828,-86.2636968,Ethnic Groceries in New Albany 47150
Meijer · Visited link,"4222 Charlestown Rd, New Albany, IN 47150",meijer.com,(812) 542-3800,,4.2,"Chain retailer featuring brand-name groceries plus apparel, electronics & more.",38.1401828,-86.2636968,Ethnic Groceries in New Albany 47150
Yogi West Market LLC · Visited link,,,(502) 654-7959,,,,38.1401828,-86.2636968,Ethnic Groceries in New Albany 47150
Lightning Food Mart · Visited link,"2595 Charlestown Rd, New Albany, IN 47150",,(812) 944-0692,,4.5,,38.1401828,-86.2636968,Ethnic Groceries in New Albany 47150
Spiceland Indian Grocery · Visited link,"706 E Lewis and Clark Pkwy suite g, Clarksville, IN 47129",,(812) 590-6534,,4.8,,38.1401828,-86.2636968,Ethnic Groceries in New Albany 47150
La Loma Food Market · Visited link,"554 Eastern Blvd, Clarksville, IN 47129",,(812) 282-4353,,4.6,,38.1401828,-86.2636968,Ethnic Groceries in New Albany 47150
