name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
Shell · Visited link,"3309 Grant Line Rd, New Albany, IN 47150",find.shell.com,(812) 948-8101,,3.9,,38.3275189,-85.8905883,Gas Stations in New Albany 47150
Shell · Visited link,"2025 E Spring St, New Albany, IN 47150",find.shell.com,(812) 945-4611,,3.6,,38.3275189,-85.8905883,Gas Stations in New Albany 47150
Amoco · Visited link,"2750 Charlestown Rd, New Albany, IN 47150",map.bp.com,(847) 858-2702,,4.5,,38.3275189,-85.8905883,Gas Stations in New Albany 47150
Circle K · Visited link,"401 State St, New Albany, IN 47150",circlek.com,(812) 948-0602,,3.0,,38.3275189,-85.8905883,Gas Stations in New Albany 47150
Thorntons · Visited link,"2250 State St, New Albany, IN 47150",thorntonsinc.com,(812) 949-2035,,4.1,,38.3275189,-85.8905883,Gas Stations in New Albany 47150
Circle K · Visited link,"2104 Grant Line Rd, New Albany, IN 47150",circlek.com,(812) 949-7391,,3.5,,38.3275189,-85.8905883,Gas Stations in New Albany 47150
Meijer Express Gas Station · Visited link,"4220 Charlestown Rd, New Albany, IN 47150",meijer.com,(812) 542-3829,,3.9,,38.3275189,-85.8905883,Gas Stations in New Albany 47150
bp · Visited link,"2589 Charlestown Rd, New Albany, IN 47150",map.bp.com,(812) 945-3150,,3.5,,38.3275189,-85.8905883,Gas Stations in New Albany 47150
Marathon Gas · Visited link,"4016 Grant Line Rd, New Albany, IN 47150",marathonbrand.com,(812) 949-1790,,3.5,,38.3275189,-85.8905883,Gas Stations in New Albany 47150
Circle K · Visited link,"602 W Main St, New Albany, IN 47150",circlek.com,(812) 949-1293,,3.4,,38.3275189,-85.8905883,Gas Stations in New Albany 47150
Circle K · Visited link,"3601 Grant Line Rd, New Albany, IN 47150",circlek.com,(812) 944-5344,,3.1,,38.3275189,-85.8905883,Gas Stations in New Albany 47150
Shell · Visited link,"3706 Charlestown Rd, New Albany, IN 47150",shell.us,(812) 949-9329,,4.1,"·
Diesel gas",38.3275189,-85.8905883,Gas Stations in New Albany 47150
Circle K · Visited link,"3601 Grant Line Rd, New Albany, IN 47150",circlek.com,(812) 944-9344,,2.0,"Gas station chain featuring convenience stores selling grab-&-go meals, snacks & drinks.",38.3275189,-85.8905883,Gas Stations in New Albany 47150
Marathon Gas · Visited link,"800 State St, New Albany, IN 47150",,(812) 944-5359,,3.2,,38.3275189,-85.8905883,Gas Stations in New Albany 47150
Valero · Visited link,"327 W 5th St, New Albany, IN 47150",valero.com,(812) 949-2063,,3.6,,38.3275189,-85.8905883,Gas Stations in New Albany 47150
Marathon Gas · Visited link,"2100 E Spring St, New Albany, IN 47150",,(812) 542-0856,,3.5,,38.3275189,-85.8905883,Gas Stations in New Albany 47150
Marathon Gas · Visited link,"523 Vincennes St, New Albany, IN 47150",marathonbrand.com,(812) 941-5420,,3.5,"·
Diesel gas",38.3275189,-85.8905883,Gas Stations in New Albany 47150
Thorntons · Visited link,"1401 Corydon Pike, New Albany, IN 47150",thorntonsinc.com,(812) 542-1081,,3.9,,38.27401,-85.9094278,Gas Stations in New Albany 47150
Kroger Fuel Center · Visited link,"2140 State St, New Albany, IN 47150",kroger.com,(812) 948-2817,,4.1,,38.27401,-85.9094278,Gas Stations in New Albany 47150
Kroger Fuel Center · Visited link,"2864 Charlestown Rd, New Albany, IN 47150",kroger.com,(812) 948-1061,,4.4,,38.3323071,-85.8711302,Gas Stations in New Albany 47150
Sav-A-Step Food Mart · Visited link,"4016 Grant Line Rd, New Albany, IN 47150",,(812) 949-1790,,3.8,,38.3323071,-85.8711302,Gas Stations in New Albany 47150
Little Foot Food Store · Visited link,"2589 Charlestown Rd, New Albany, IN 47150",,+1 226-246-2382,,4.7,,38.3323071,-85.8711302,Gas Stations in New Albany 47150
Heritage Petroleum · Visited link,"1319 Vincennes St, New Albany, IN 47150",heritageoil.com,(812) 422-3251,,3.0,,38.3323071,-85.8711302,Gas Stations in New Albany 47150
Marathon Gas · Visited link,"4770 Duffy Rd, Floyds Knobs, IN 47119",,(812) 923-7757,,3.9,,38.3138097,-85.9711309,Gas Stations in New Albany 47150
Marathon Gas · Visited link,"3693 Paoli Pike, Floyds Knobs, IN 47119",,(812) 923-0190,,2.6,,38.3138097,-85.9711309,Gas Stations in New Albany 47150
ARCO · Visited link,"6566 US-150, Floyds Knobs, IN 47119",arco.com,(812) 923-0955,,4.3,"·
Diesel gas",38.3138097,-85.9711309,Gas Stations in New Albany 47150
Circle K · Visited link,"3706 Charlestown Rd, Clarksville, IN 47150",circlek.com,(812) 949-9329,,3.6,,38.3352338,-85.8698709,Gas Stations in New Albany 47150
Sav-A-Step Food Mart · Visited link,"3010 St Joseph Rd, New Albany, IN 47150",,(812) 945-1311,,3.4,,38.3352338,-85.8698709,Gas Stations in New Albany 47150
