name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
ALDI,,,,,,,38.1387019,-85.7169298,Locally-Owned Groceries in Louisville 40214
Price Less Foods · Visited link,"7813 Beulah Church Rd, Louisville, KY 40228",mypricelessfoods.com,(502) 239-7297,,4.3,"·
In-store shopping",38.1387019,-85.7169298,Locally-Owned Groceries in Louisville 40214
Gordon Food Service Store · Visited link,"7389 Jefferson Blvd, Louisville, KY 40219",gfsstore.com,(502) 968-5548,,4.6,"·
In-store shopping
·
Curbside pickup",38.1438731,-85.816721,Locally-Owned Groceries in Louisville 40214
Pathivara International Grocery · Visited link,"7535 Outer Loop, Louisville, KY 40228",,(502) 398-5385,,4.8,,38.1438731,-85.816721,Locally-Owned Groceries in Louisville 40214
Supermercado Guanajuato #2 · Visited link,"6201 Preston Hwy Ste B, Louisville, KY 40219",supermercadoguanajuato.com,(502) 498-5088,,4.3,,38.1438731,-85.816721,Locally-Owned Groceries in Louisville 40214
Garden Gate Fruit Market · Visited link,"4411 Breckenridge Ln, Louisville, KY 40218",gardengatemarket.com,(502) 499-5275,,4.6,"·
In-store shopping",38.1438731,-85.816721,Locally-Owned Groceries in Louisville 40214
Supermercado Guanajuato #3 · Visited link,"5624 Bardstown Rd, Louisville, KY 40291",supermercadoguanajuato.com,(502) 709-5131,,4.3,,38.163042,-85.7426317,Locally-Owned Groceries in Louisville 40214
International Market · Visited link,"7100 Preston Hwy, Louisville, KY 40219",edan.io,(502) 964-4447,,4.1,,38.1491409,-85.8384876,Locally-Owned Groceries in Louisville 40214
Save A Lot · Visited link,"5747 Preston Hwy, Louisville, KY 40219",savealot.com,(502) 966-3477,,4.3,Discount supermarket chain carrying brand-name & private-label grocery items.,38.1491409,-85.8384876,Locally-Owned Groceries in Louisville 40214
EL REY MARKET · Visited link,"7600 National Turnpike, Louisville, KY 40214",,(502) 384-0949,,4.2,,38.1491409,-85.8384876,Locally-Owned Groceries in Louisville 40214
Golden Key International Grocery Store · Visited link,"3821 Bardstown Rd, Louisville, KY 40218",goldenkeymarket.com,(502) 485-9009,,4.7,,38.1491409,-85.8384876,Locally-Owned Groceries in Louisville 40214
REAL DEAL / J Food Mart · Visited link,"8506 Shepherdsville Rd, Louisville, KY 40219",,(502) 882-1228,,4.7,"·
In-store shopping
·
Delivery",38.1491409,-85.8384876,Locally-Owned Groceries in Louisville 40214
Pic Pac Southside Drive · Visited link,"6629 Southside Dr, Louisville, KY 40214",facebook.com,(502) 366-9389,,4.2,"·
In-store pickup",38.1595779,-85.9083697,Locally-Owned Groceries in Louisville 40214
Kroger · Visited link,"4211 S 3rd St, Louisville, KY 40214",kroger.com,(502) 368-3065,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.1595779,-85.9083697,Locally-Owned Groceries in Louisville 40214
Kroger · Visited link,"5533 New Cut Rd, Louisville, KY 40214",kroger.com,(502) 361-7446,,4.0,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.1595779,-85.9083697,Locally-Owned Groceries in Louisville 40214
Iroquois Food Mart · Visited link,"5105 New Cut Rd, Louisville, KY 40214",fb.me,(502) 384-1086,,3.8,,38.1595779,-85.9083697,Locally-Owned Groceries in Louisville 40214
Valu Market Iroquois Manor · Visited link,"5301 Mitscher Ave, Louisville, KY 40214",valumarket.com,(502) 361-9285,,4.1,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.1595779,-85.9083697,Locally-Owned Groceries in Louisville 40214
Neighborhood Food Mart Inc · Visited link,"542 Lampton St, Louisville, KY 40203",,(502) 583-2762,,4.6,,38.1595779,-85.9083697,Locally-Owned Groceries in Louisville 40214
Cardinal Market · Visited link,"7312 St Andrews Church Rd suite a, Louisville, KY 40214",,(502) 368-7511,,4.1,,38.1595779,-85.9083697,Locally-Owned Groceries in Louisville 40214
Foods World (Eastern Goods LLC) · Visited link,"307 W Woodlawn Ave, Louisville, KY 40214",,(347) 841-3893,,4.7,"·
In-store shopping",38.1595779,-85.9083697,Locally-Owned Groceries in Louisville 40214
Asian Food Mart(Dixie Oriental Supermarket) · Visited link,"3900 Bardstown Rd, Louisville, KY 40218",,(502) 473-1922,,4.7,"·
In-store shopping",38.1950055,-85.797559,Locally-Owned Groceries in Louisville 40214
Meijer · Visited link,"9500 Preston Hwy, Louisville, KY 40229",meijer.com,(502) 962-3700,,4.3,"Chain retailer featuring brand-name groceries plus apparel, electronics & more.",38.1950055,-85.797559,Locally-Owned Groceries in Louisville 40214
ALDI · Visited link,"3442 Preston Hwy, Louisville, KY 40213",stores.aldi.us,(855) 955-2534,,4.5,"Retail chain selling a range of grocery items, meat & dairy.",38.194908,-85.8750888,Locally-Owned Groceries in Louisville 40214
Oriental Supermarket · Visited link,"1211 Gilmore Ln, Louisville, KY 40213",,(502) 966-0400,,4.4,,38.194908,-85.8750888,Locally-Owned Groceries in Louisville 40214
Phuoc Binh Grocery · Visited link,"5301 S 3rd St, Louisville, KY 40214",,(502) 366-7002,,4.0,,38.194908,-85.8750888,Locally-Owned Groceries in Louisville 40214
ValuMarket Mid City Mall · Visited link,"1250 Bardstown Rd #1, Louisville, KY 40204",valumarket.com,(502) 459-2221,,4.3,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.194908,-85.8750888,Locally-Owned Groceries in Louisville 40214
Kroger · Visited link,"4009 Poplar Level Rd, Louisville, KY 40213",kroger.com,(502) 454-3914,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.194908,-85.8750888,Locally-Owned Groceries in Louisville 40214
Walmart Supercenter · Visited link,"2020 Bashford Manor Ln, Louisville, KY 40218",walmart.com,(502) 451-6766,,3.7,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.194908,-85.8750888,Locally-Owned Groceries in Louisville 40214
Jay Food Mart #1 · Visited link,"5050 Billtown Rd, Louisville, KY 40299",,,,3.0,,38.1716648,-85.7177643,Locally-Owned Groceries in Louisville 40214
Oasis Grocery Mart & Head Shop&smokers oasis · Visited link,"1032 S 4th St, Louisville, KY 40203",,(502) 837-0582,,4.1,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.2376483,-85.9044717,Locally-Owned Groceries in Louisville 40214
Whole Foods Market · Visited link,"4944 Shelbyville Rd, Louisville, KY 40207",wholefoodsmarket.com,(502) 899-5545,,4.4,"Eco-minded chain with natural & organic grocery items, housewares & other products (most sell wine).",38.248632,-85.7701772,Locally-Owned Groceries in Louisville 40214
Safari International Grocery Store · Visited link,"1900 Crums Ln, Louisville, KY 40216",,(502) 963-5221,,4.3,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.1926485,-85.9536067,Locally-Owned Groceries in Louisville 40214
Kroger · Visited link,"1265 Goss Ave, Louisville, KY 40217",kroger.com,(502) 634-0724,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2264998,-85.8746526,Locally-Owned Groceries in Louisville 40214
Trader Joe's · Visited link,"4600 Shelbyville Rd #111, Louisville, KY 40207",locations.traderjoes.com,(502) 895-1361,,4.7,"Grocery chain with a variety of signature items, plus produce, dairy & more (most sell wine & beer).",38.2500898,-85.7755661,Locally-Owned Groceries in Louisville 40214
Douglass Loop Farmers Market · Visited link,"2005 Douglass Blvd, Louisville, KY 40205",douglassloopfarmersmarket.org,(502) 794-8237,,4.8,,38.2500898,-85.7755661,Locally-Owned Groceries in Louisville 40214
Thang-Long · Visited link,"4836 Southside Dr, Louisville, KY 40214",,(502) 368-9429,,4.5,,38.1777214,-85.9091736,Locally-Owned Groceries in Louisville 40214
Save A Lot · Visited link,"4148 Taylor Blvd, Louisville, KY 40215",savealot.com,(502) 367-8433,,4.3,Discount supermarket chain carrying brand-name & private-label grocery items.,38.1777214,-85.9091736,Locally-Owned Groceries in Louisville 40214
Kroger · Visited link,"5001 Mud Ln, Louisville, KY 40229",kroger.com,(502) 962-7744,,3.9,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.0891707,-85.8147991,Locally-Owned Groceries in Louisville 40214
The Fresh Market · Visited link,"1805 Rudy Ln, Louisville, KY 40207",stores.thefreshmarket.com,(502) 895-7593,,4.4,"Upscale grocery store chain with an old-world vibe offers local produce, prepared eats, wine & more.",38.27963,-85.7820696,Locally-Owned Groceries in Louisville 40214
Sunshine Grocery · Visited link,"125 E Oak St, Louisville, KY 40203",,(502) 561-9225,,4.4,,38.2345734,-85.8982358,Locally-Owned Groceries in Louisville 40214
Sam's Club · Visited link,"6622 Preston Hwy, Louisville, KY 40219",samsclub.com,(502) 964-0379,,4.2,"Membership-only warehouse chain selling a variety of bulk grocery items, electronics & home goods.",38.2345734,-85.8982358,Locally-Owned Groceries in Louisville 40214
