name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
ALDI,"5109 Dixie Hwy, Louisville, KY 40216",stores.aldi.us,(855) 955-2534,,4.4,"Retail chain selling a range of grocery items, meat & dairy.",38.1392615,-86.2637001,Locally-Owned Groceries in New Albany 47150
Seeds and Greens Natural Market and Deli · Visited link,"207 W 1st St, New Albany, IN 47150",seedsandgreensmarket.com,(812) 944-3800,,4.7,"·
In-store shopping
·
Curbside pickup",38.1392615,-86.2637001,Locally-Owned Groceries in New Albany 47150
New Albany Farmers Market · Visited link,"202 E Market St, New Albany, IN 47150",newalbanyfarmersmarket.com,(812) 946-6550,,4.6,,38.1392615,-86.2637001,Locally-Owned Groceries in New Albany 47150
New Albany Plaza · Visited link,"440 New Albany Plaza, New Albany, IN 47150",,,,4.2,"·
In-store pickup
·
Delivery",38.1392615,-86.2637001,Locally-Owned Groceries in New Albany 47150
ALDI · Visited link,"3118 Grant Line Rd, New Albany, IN 47150",stores.aldi.us,(855) 955-2534,,4.6,"Retail chain selling a range of grocery items, meat & dairy.",38.1392615,-86.2637001,Locally-Owned Groceries in New Albany 47150
Kroger Marketplace · Visited link,"200 New Albany Plaza, New Albany, IN 47150",kroger.com,(812) 948-2817,,3.8,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.1392615,-86.2637001,Locally-Owned Groceries in New Albany 47150
Zack's Food Mart · Visited link,"1223 Bono Rd, New Albany, IN 47150",m.facebook.com,(812) 945-3203,,4.1,,38.1392615,-86.2637001,Locally-Owned Groceries in New Albany 47150
Rainbow Blossom New Albany · Visited link,"3003 Charlestown Crossing, New Albany, IN 47150",rainbowblossom.com,(812) 941-0080,,4.5,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.1392615,-86.2637001,Locally-Owned Groceries in New Albany 47150
Lightning Food Mart · Visited link,"2595 Charlestown Rd, New Albany, IN 47150",,(812) 944-0692,,4.5,,38.1392615,-86.2637001,Locally-Owned Groceries in New Albany 47150
The Elderberry Co · Visited link,"302 Pearl St Ste B, New Albany, IN 47150",theelderberryco.com,(800) 825-0445,,5.0,"·
In-store shopping
·
Delivery",38.1392615,-86.2637001,Locally-Owned Groceries in New Albany 47150
Walmart Supercenter · Visited link,"2910 Grant Line Rd, New Albany, IN 47150",walmart.com,(812) 944-0635,,3.8,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.1392615,-86.2637001,Locally-Owned Groceries in New Albany 47150
The Honey Baked Ham Company · Visited link,"3602 Northgate Ct, New Albany, IN 47150",honeybaked.com,(812) 941-9426,,4.4,"Family-owned chain selling ready-to-serve smoked hams, plus turkeys, roasts, side dishes & desserts.",38.1392615,-86.2637001,Locally-Owned Groceries in New Albany 47150
Yogi West Market LLC · Visited link,,,(502) 654-7959,,,,38.1392615,-86.2637001,Locally-Owned Groceries in New Albany 47150
Dollar General · Visited link,"624 State St, New Albany, IN 47150",dollargeneral.com,(502) 430-2460,,1.8,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.1392615,-86.2637001,Locally-Owned Groceries in New Albany 47150
Little Foot Food Store · Visited link,"2589 Charlestown Rd, New Albany, IN 47150",,+1 226-246-2382,,4.7,,38.1392615,-86.2637001,Locally-Owned Groceries in New Albany 47150
