name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
Kroger,"2710 W Broadway, Louisville, KY 40211",kroger.com,(502) 778-3346,,3.5,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2485445,-85.8690146,Recently Closed Stores in Louisville 40206
GQ Unlimited,"728 W Broadway, Louisville, KY 40202",gqunlimited.com,(502) 614-7774,,4.6,"Longtime menswear store selling suits, dress shirts, shoes & other traditional apparel.",38.2485445,-85.8690146,Recently Closed Stores in Louisville 40206
Kroger · Visited link,"2200 Brownsboro Rd, Louisville, KY 40206",kroger.com,(502) 897-1133,,3.8,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2578606,-85.7763335,Recently Closed Stores in Louisville 40206
Bargain Supply Company · Visited link,"844 E Jefferson St, Louisville, KY 40206",bargainsupply.com,(502) 562-5000,,4.7,"Roomy appliance store stocking washers, refrigerators & other essentials, plus tools & electronics.",38.2513196,-85.8093596,Recently Closed Stores in Louisville 40206
Butchertown Grocery Bakery · Visited link,"743 E Main St, Louisville, KY 40202",instagram.com,(502) 742-8315 ext. 2,,4.6,,38.2513196,-85.8093596,Recently Closed Stores in Louisville 40206
Pix Shoes of Louisville · Visited link,"201 S Preston St, Louisville, KY 40202",facebook.com,(502) 583-2080,,4.6,"Longtime shoe shop carrying designer footwear & a wide array of hats, bags & fascinators.",38.2513196,-85.8093596,Recently Closed Stores in Louisville 40206
Chenoweth Square · Visited link,"3907 Chenoweth Square, Louisville, KY 40207",,,,4.6,,38.254079,-85.7269662,Recently Closed Stores in Louisville 40206
"Please & Thank You ""FRANK"" · Visited link","2341 Frankfort Ave, Louisville, KY 40206",wearepleaseandthankyou.com,(502) 432-8614,,4.6,,38.2536777,-85.7735226,Recently Closed Stores in Louisville 40206
Cliftboro Center · Visited link,"2200 Brownsboro Rd, Louisville, KY 40206",,(502) 897-1133,,4.1,"·
In-store pickup",38.2536777,-85.7735226,Recently Closed Stores in Louisville 40206
Green Store · Visited link,"301 S 18th St, Louisville, KY 40203",,(502) 585-2429,,4.0,,38.2559322,-85.8520188,Recently Closed Stores in Louisville 40206
Wiltshire Pantry Bakery and Café - Downtown · Visited link,"605 W Main St, Louisville, KY 40202",wiltshirepantry.com,(502) 749-1683,,4.5,,38.2559322,-85.8520188,Recently Closed Stores in Louisville 40206
Pappy & Company · Visited link,"843 E Market St, Louisville, KY 40206",pappyco.com,(888) 834-9831,,4.2,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.2532632,-85.8081811,Recently Closed Stores in Louisville 40206
Duluth Trading Company · Visited link,"111 W Main St #115, Louisville, KY 40202",duluthtrading.com,(502) 890-8222,,4.5,"·
In-store shopping
·
Curbside pickup",38.2532632,-85.8081811,Recently Closed Stores in Louisville 40206
The Flea Off Market · Visited link,"1228 E Breckinridge St, Louisville, KY 40204",thefleaoffmarket.org,(502) 552-0061,,4.5,,38.2532632,-85.8081811,Recently Closed Stores in Louisville 40206
Plumbers Supply Co. · Visited link,"930 E Market St, Louisville, KY 40206",plumbers-supply-co.com,(502) 400-7290,,4.4,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.2532632,-85.8081811,Recently Closed Stores in Louisville 40206
Kroger · Visited link,"1265 Goss Ave, Louisville, KY 40217",kroger.com,(502) 634-0724,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2532632,-85.8081811,Recently Closed Stores in Louisville 40206
Peace of the Earth · Visited link,"801 E Market St, Louisville, KY 40206",peaceoftheearth.com,(502) 690-5707,,4.8,"·
In-store shopping
·
In-store pickup",38.2532632,-85.8081811,Recently Closed Stores in Louisville 40206
Magnolia & Fig · Visited link,"2031 Frankfort Ave, Louisville, KY 40206",magnoliaandfigboutique.com,(502) 253-4567,,4.9,"·
In-store shopping
·
Curbside pickup",38.2532632,-85.8081811,Recently Closed Stores in Louisville 40206
DG Market · Visited link,"200 E Broadway, Louisville, KY 40202",dollargeneral.com,(502) 276-7912,,3.1,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2532632,-85.8081811,Recently Closed Stores in Louisville 40206
Quills Coffee · Visited link,"802 E Main St, Louisville, KY 40206",quillscoffee.com,(502) 861-5947,,4.7,Easygoing operation featuring artisanal coffee in a trendy & contemporary setting.,38.2532632,-85.8081811,Recently Closed Stores in Louisville 40206
