name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
New Albany Plaza · Visited link,"440 New Albany Plaza, New Albany, IN 47150",,,,4.2,"·
In-store pickup
·
Delivery",38.3054831,-85.9101174,Recently Closed Stores in New Albany 47150
The Home Depot · Visited link,"2239 State St, New Albany, IN 47150",homedepot.com,(812) 941-9641,,4.3,"Chain home improvement retailer for tools, appliances & other products (some offer truck rentals).",38.3054831,-85.9101174,Recently Closed Stores in New Albany 47150
Mr Nice Guy New Albany · Visited link,"201 E Market St, New Albany, IN 47150",facebook.com,(812) 590-1442,,5.0,,38.3054831,-85.9101174,Recently Closed Stores in New Albany 47150
Target · Visited link,"2209 State St, New Albany, IN 47150",target.com,(812) 945-5046,,4.3,"Retail chain offering home goods, clothing, electronics & more, plus exclusive designer collections.",38.3054831,-85.9101174,Recently Closed Stores in New Albany 47150
The Odd Shop · Visited link,"155 E Main St, New Albany, IN 47150",facebook.com,(812) 913-0030,,4.5,,38.3054831,-85.9101174,Recently Closed Stores in New Albany 47150
ALDI · Visited link,"3118 Grant Line Rd, New Albany, IN 47150",stores.aldi.us,(855) 955-2534,,4.6,"Retail chain selling a range of grocery items, meat & dairy.",38.3054831,-85.9101174,Recently Closed Stores in New Albany 47150
Family Dollar · Visited link,"635 State St, New Albany, IN 47150",familydollar.com,(930) 256-0071,,4.0,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",38.3054831,-85.9101174,Recently Closed Stores in New Albany 47150
Kroger Marketplace · Visited link,"200 New Albany Plaza, New Albany, IN 47150",kroger.com,(812) 948-2817,,3.8,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.3054831,-85.9101174,Recently Closed Stores in New Albany 47150
Marshalls · Visited link,"310 New Albany Plaza, New Albany, IN 47150",marshalls.com,(812) 941-8466,,3.9,"Retail chain offering brand-name clothing, accessories, shoes & housewares.",38.3054831,-85.9101174,Recently Closed Stores in New Albany 47150
Seeds and Greens Natural Market and Deli · Visited link,"207 W 1st St, New Albany, IN 47150",seedsandgreensmarket.com,(812) 944-3800,,4.7,"·
In-store shopping
·
Curbside pickup",38.3054831,-85.9101174,Recently Closed Stores in New Albany 47150
Him & Her Boutique · Visited link,"313 Pearl St, New Albany, IN 47150",shophimandher.com,(812) 595-7752,,4.9,"·
In-store shopping
·
In-store pickup",38.3054831,-85.9101174,Recently Closed Stores in New Albany 47150
