name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
ALDI,,,,,,,38.1981424,-85.7358049,Small Groceries in Louisville 40212
West Food Mart · Visited link,"2200 W Market St, Louisville, KY 40212",,(502) 384-0327,,4.1,,38.2582354,-85.8591134,Small Groceries in Louisville 40212
Sandy Grocery LLC · Visited link,"2200 W Market St, Louisville, KY 40212",,,,4.1,,38.2582354,-85.8591134,Small Groceries in Louisville 40212
Oasis Grocery Mart & Head Shop&smokers oasis · Visited link,"1032 S 4th St, Louisville, KY 40203",,(502) 837-0582,,4.1,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.2582354,-85.8591134,Small Groceries in Louisville 40212
Scheler's Food Market · Visited link,"1397 S 2nd St St, Louisville, KY 40208",,(502) 635-2779,,4.1,"·
Delivery",38.2582354,-85.8591134,Small Groceries in Louisville 40212
Market Zone 100 Inc · Visited link,"118 S 26th St, Louisville, KY 40212",market-zone-100-inc.edan.io,(502) 742-2066,,3.9,,38.2582354,-85.8591134,Small Groceries in Louisville 40212
H & S Groceries · Visited link,"4619 W Market St, Louisville, KY 40212",,(502) 778-7947,,3.8,,38.26509,-85.8965603,Small Groceries in Louisville 40212
Kader's Market · Visited link,"4100 W Muhammad Ali Blvd, Louisville, KY 40212",kaders-market.keeq.io,(502) 776-2111,,4.4,"·
In-store shopping",38.26509,-85.8965603,Small Groceries in Louisville 40212
5 Brothers Grocery & Smokeshop · Visited link,"1159 S 4th St, Louisville, KY 40203",,(502) 919-8483,,4.0,,38.235321,-85.8321479,Small Groceries in Louisville 40212
2 Brothers market · Visited link,"438 N 28th St, Louisville, KY 40212",,(502) 742-5494,,4.5,,38.2690037,-85.8668153,Small Groceries in Louisville 40212
Kroger · Visited link,"1265 Goss Ave, Louisville, KY 40217",kroger.com,(502) 634-0724,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2264998,-85.8025548,Small Groceries in Louisville 40212
Kroger · Visited link,"3165 S 2nd St, Louisville, KY 40208",kroger.com,(502) 368-6075,,3.8,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2264998,-85.8025548,Small Groceries in Louisville 40212
