name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
ALDI,,,,,,,38.1411041,-86.2636934,Small Groceries in New Albany 47150
New Albany Plaza · Visited link,"440 New Albany Plaza, New Albany, IN 47150",,,,4.2,"·
In-store pickup
·
Delivery",38.1411041,-86.2636934,Small Groceries in New Albany 47150
Seeds and Greens Natural Market and Deli · Visited link,"207 W 1st St, New Albany, IN 47150",seedsandgreensmarket.com,(812) 944-3800,,4.7,"·
In-store shopping
·
Curbside pickup",38.1411041,-86.2636934,Small Groceries in New Albany 47150
Kroger Marketplace · Visited link,"200 New Albany Plaza, New Albany, IN 47150",kroger.com,(812) 948-2817,,3.8,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.1411041,-86.2636934,Small Groceries in New Albany 47150
ALDI · Visited link,"3118 Grant Line Rd, New Albany, IN 47150",stores.aldi.us,(855) 955-2534,,4.6,"Retail chain selling a range of grocery items, meat & dairy.",38.1411041,-86.2636934,Small Groceries in New Albany 47150
Zack's Food Mart · Visited link,"1223 Bono Rd, New Albany, IN 47150",m.facebook.com,(812) 945-3203,,4.1,,38.1411041,-86.2636934,Small Groceries in New Albany 47150
Meijer · Visited link,"4222 Charlestown Rd, New Albany, IN 47150",meijer.com,(812) 542-3800,,4.2,"Chain retailer featuring brand-name groceries plus apparel, electronics & more.",38.1411041,-86.2636934,Small Groceries in New Albany 47150
Kroger · Visited link,"2864 Charlestown Rd, New Albany, IN 47150",kroger.com,(812) 944-7016,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.1411041,-86.2636934,Small Groceries in New Albany 47150
Target Grocery · Visited link,"2209 State St, New Albany, IN 47150",target.com,(812) 945-5046,,4.1,"·
In-store pickup",38.1411041,-86.2636934,Small Groceries in New Albany 47150
Rainbow Blossom New Albany · Visited link,"3003 Charlestown Crossing, New Albany, IN 47150",rainbowblossom.com,(812) 941-0080,,4.5,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.1411041,-86.2636934,Small Groceries in New Albany 47150
Walmart Grocery Pickup #2691 · Visited link,"2910 Grant Line Rd, New Albany, IN 47150",,(812) 725-5895,,4.5,"·
In-store pickup",38.1411041,-86.2636934,Small Groceries in New Albany 47150
Lightning Food Mart · Visited link,"2595 Charlestown Rd, New Albany, IN 47150",,(812) 944-0692,,4.5,,38.1411041,-86.2636934,Small Groceries in New Albany 47150
Yogi West Market LLC · Visited link,,,(502) 654-7959,,,,38.1411041,-86.2636934,Small Groceries in New Albany 47150
Walmart Supercenter · Visited link,"2910 Grant Line Rd, New Albany, IN 47150",walmart.com,(812) 944-0635,,3.8,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.1411041,-86.2636934,Small Groceries in New Albany 47150
Family Dollar · Visited link,"635 State St, New Albany, IN 47150",familydollar.com,(930) 256-0071,,4.0,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",38.1411041,-86.2636934,Small Groceries in New Albany 47150
Family Dollar · Visited link,"1201 Vincennes St, New Albany, IN 47150",familydollar.com,(812) 914-8172,,3.6,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",38.1411041,-86.2636934,Small Groceries in New Albany 47150
Dollar General · Visited link,"417 Vincennes St, New Albany, IN 47150",dollargeneral.com,(812) 503-0090,,3.8,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.1411041,-86.2636934,Small Groceries in New Albany 47150
The Elderberry Co · Visited link,"302 Pearl St Ste B, New Albany, IN 47150",theelderberryco.com,(800) 825-0445,,5.0,"·
In-store shopping
·
Delivery",38.1411041,-86.2636934,Small Groceries in New Albany 47150
Dollar General · Visited link,"624 State St, New Albany, IN 47150",dollargeneral.com,(502) 430-2460,,1.8,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.1411041,-86.2636934,Small Groceries in New Albany 47150
Taylor’s Cajun Meat Company · Visited link,"3306 Plaza Dr #190, New Albany, IN 47150",taylorscajunmeatco.com,(812) 725-0039,,4.7,,38.1411041,-86.2636934,Small Groceries in New Albany 47150
Dollar Tree · Visited link,"Former Rite Aid, 2022 E Spring St, New Albany, IN 47150",dollartree.com,(930) 256-2920,,4.2,"Chain offering a mix of household items, beauty products, food & more at discount prices.",38.1411041,-86.2636934,Small Groceries in New Albany 47150
