name,address,website,phone_number,reviews_count,reviews_average,summary,latitude,longitude,search_keyword
Kroger,,,,,,,38.2672405,-85.8579337,Supermarkets/Full-Service Groceries in Louisville 40212
Save A Lot · Visited link,"2626 Portland Ave, Louisville, KY 40212",savealot.com,(502) 772-0705,,4.1,"·
In-store shopping
·
Delivery",38.2672405,-85.8579337,Supermarkets/Full-Service Groceries in Louisville 40212
West Food Mart · Visited link,"2200 W Market St, Louisville, KY 40212",,(502) 384-0327,,4.1,,38.2672405,-85.8579337,Supermarkets/Full-Service Groceries in Louisville 40212
Sandy Grocery LLC · Visited link,"2200 W Market St, Louisville, KY 40212",,,,4.1,,38.2672405,-85.8579337,Supermarkets/Full-Service Groceries in Louisville 40212
41st food market · Visited link,"4105 W Market St, Louisville, KY 40212",,(502) 653-7395,,3.5,,38.2672405,-85.8579337,Supermarkets/Full-Service Groceries in Louisville 40212
Kader's Market · Visited link,"4100 W Muhammad Ali Blvd, Louisville, KY 40212",kaders-market.keeq.io,(502) 776-2111,,4.4,"·
In-store shopping",38.2577502,-85.8909323,Supermarkets/Full-Service Groceries in Louisville 40212
Market Zone 100 Inc · Visited link,"118 S 26th St, Louisville, KY 40212",market-zone-100-inc.edan.io,(502) 742-2066,,3.9,,38.2577502,-85.8909323,Supermarkets/Full-Service Groceries in Louisville 40212
Kroger · Visited link,"2710 W Broadway, Louisville, KY 40211",kroger.com,(502) 778-3346,,3.5,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2577502,-85.8909323,Supermarkets/Full-Service Groceries in Louisville 40212
2 Brothers market · Visited link,"438 N 28th St, Louisville, KY 40212",,(502) 742-5494,,4.5,,38.2577502,-85.8909323,Supermarkets/Full-Service Groceries in Louisville 40212
Happy Market · Visited link,"1201 Cecil Ave, Louisville, KY 40211",,(502) 775-8966,,4.1,,38.2577502,-85.8909323,Supermarkets/Full-Service Groceries in Louisville 40212
Scheler's Food Market · Visited link,"1397 S 2nd St St, Louisville, KY 40208",,(502) 635-2779,,4.1,"·
Delivery",38.2289827,-85.8299344,Supermarkets/Full-Service Groceries in Louisville 40212
Mr. Zee Corner Market · Visited link,"358 N 26th St, Louisville, KY 40212",mr-zee-corner-market.edan.io,(502) 772-1623,,4.6,,38.2659587,-85.8652517,Supermarkets/Full-Service Groceries in Louisville 40212
F & Y Food Martwork · Visited link,"3801 W Market St, Louisville, KY 40212",,(502) 774-8808,,3.2,,38.2659587,-85.8652517,Supermarkets/Full-Service Groceries in Louisville 40212
Neighborhood Food Mart Inc · Visited link,"542 Lampton St, Louisville, KY 40203",,(502) 583-2762,,4.6,,38.2415957,-85.8163981,Supermarkets/Full-Service Groceries in Louisville 40212
Kroger · Visited link,"1265 Goss Ave, Louisville, KY 40217",kroger.com,(502) 634-0724,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2415957,-85.8163981,Supermarkets/Full-Service Groceries in Louisville 40212
Galan's Meat Market & Deli · Visited link,"2801 W Market St, Louisville, KY 40212",galansmeat.com,(502) 614-8514,,4.3,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.2601313,-85.8697941,Supermarkets/Full-Service Groceries in Louisville 40212
Dollar General · Visited link,"1631 W Market St, Louisville, KY 40203",dollargeneral.com,(502) 792-0270,,3.8,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2601313,-85.8697941,Supermarkets/Full-Service Groceries in Louisville 40212
Lucy Mae's Food Mart & Kitchen · Visited link,"2300 W Kentucky St suite 1, Louisville, KY 40210",,(502) 290-9291,,4.6,"·
Delivery",38.2601313,-85.8697941,Supermarkets/Full-Service Groceries in Louisville 40212
Family Dollar · Visited link,"3901 W Market St, Louisville, KY 40212",familydollar.com,(502) 901-6001,,3.3,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",38.2601313,-85.8697941,Supermarkets/Full-Service Groceries in Louisville 40212
Kroger · Visited link,"3165 S 2nd St, Louisville, KY 40208",kroger.com,(502) 368-6075,,3.8,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2025849,-85.8334602,Supermarkets/Full-Service Groceries in Louisville 40212
Dino's Food Mart · Visited link,"2601 W Broadway, Louisville, KY 40211",,(502) 774-4333,,3.8,"·
Delivery",38.2498133,-85.8672613,Supermarkets/Full-Service Groceries in Louisville 40212
Family Dollar · Visited link,"3022 Portland Ave, Louisville, KY 40212",familydollar.com,(502) 438-9773,,3.3,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",38.2498133,-85.8672613,Supermarkets/Full-Service Groceries in Louisville 40212
Family Dollar · Visited link,"2124 Bank St, Louisville, KY 40212",familydollar.com,(502) 208-2845,,3.8,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",38.2498133,-85.8672613,Supermarkets/Full-Service Groceries in Louisville 40212
Webb's Market · Visited link,"944 E Muhammad Ali Blvd, Louisville, KY 40204",,(502) 583-0318,,4.1,,38.2485922,-85.8070033,Supermarkets/Full-Service Groceries in Louisville 40212
ValuMarket Mid City Mall · Visited link,"1250 Bardstown Rd #1, Louisville, KY 40204",valumarket.com,(502) 459-2221,,4.3,"·
In-store shopping
·
Curbside pickup
·
Delivery",38.2485922,-85.8070033,Supermarkets/Full-Service Groceries in Louisville 40212
Omar liquor plus · Visited link,"331 E Oak St, Louisville, KY 40203",,(502) 561-0868,,3.8,,38.2485922,-85.8070033,Supermarkets/Full-Service Groceries in Louisville 40212
Dollar General · Visited link,"409 W Oak St, Louisville, KY 40203",dollargeneral.com,(502) 665-0698,,2.6,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2485922,-85.8070033,Supermarkets/Full-Service Groceries in Louisville 40212
Shorty's Food Mart · Visited link,"1711 W Broadway, Louisville, KY 40203",,(502) 583-0014,,4.0,,38.2493179,-85.8527139,Supermarkets/Full-Service Groceries in Louisville 40212
Family Dollar · Visited link,"1419 W Jefferson St, Louisville, KY 40203",familydollar.com,(502) 302-6513,,3.5,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",38.2493179,-85.8527139,Supermarkets/Full-Service Groceries in Louisville 40212
Dollar General · Visited link,"2324 W Broadway, Louisville, KY 40211",dollargeneral.com,(502) 785-8326,,3.7,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2493179,-85.8527139,Supermarkets/Full-Service Groceries in Louisville 40212
Dollar General · Visited link,"3517 Cane Run Rd, Louisville, KY 40211",dollargeneral.com,(502) 805-6985,,3.9,"Bargain retail chain selling a range of household goods, groceries, beauty products & more.",38.2493179,-85.8527139,Supermarkets/Full-Service Groceries in Louisville 40212
Family Dollar · Visited link,"3417 W Broadway, Louisville, KY 40211",familydollar.com,(502) 438-9682,,3.4,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",38.2493179,-85.8527139,Supermarkets/Full-Service Groceries in Louisville 40212
Falls City Market · Visited link,"400 S 2nd St, Louisville, KY 40202",omnihotels.com,(502) 313-6664,,4.4,"·
Dine-in
·
Takeout
·
Delivery",38.2493179,-85.8527139,Supermarkets/Full-Service Groceries in Louisville 40212
Kroger · Visited link,"4009 Poplar Level Rd, Louisville, KY 40213",kroger.com,(502) 454-3914,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.2020134,-85.7798633,Supermarkets/Full-Service Groceries in Louisville 40212
Kroger · Visited link,"4211 S 3rd St, Louisville, KY 40214",kroger.com,(502) 368-3065,,4.1,"Large supermarket chain with deli & bakery departments, plus health & beauty products.",38.1949549,-85.8367288,Supermarkets/Full-Service Groceries in Louisville 40212
Shorty's Food Mart · Visited link,"2133 Dixie Hwy, Louisville, KY 40210",,(502) 775-6262,,3.9,,38.1949549,-85.8367288,Supermarkets/Full-Service Groceries in Louisville 40212
"Pinch Spice Market (Shop Online, We Ship to You). Free Local Pickup with Appointment · Visited link","110 N 13th St, Louisville, KY 40203",pinchspicemarket.com,(773) 219-3194,,4.9,,38.2587321,-85.8436948,Supermarkets/Full-Service Groceries in Louisville 40212
Family Dollar · Visited link,"1234 W Broadway, Louisville, KY 40203",familydollar.com,(502) 495-3591,,3.5,"Discount chain carrying a variety of goods, including groceries, household items & beauty products.",38.2587321,-85.8436948,Supermarkets/Full-Service Groceries in Louisville 40212
ALDI · Visited link,"3442 Preston Hwy, Louisville, KY 40213",stores.aldi.us,(855) 955-2534,,4.5,"Retail chain selling a range of grocery items, meat & dairy.",38.194908,-85.802991,Supermarkets/Full-Service Groceries in Louisville 40212
Dollar Tree · Visited link,"2815 W Broadway Village, Louisville, KY 40211",dollartree.com,(502) 822-7891,,3.8,"Chain offering a mix of household items, beauty products, food & more at discount prices.",38.2506182,-85.871073,Supermarkets/Full-Service Groceries in Louisville 40212
